brandid,brandname,overall_weighted_score,google_avg_local_rank,facebook_engagement_rate,google_avg_rating
3504,The Collier Companies,41,18.35,0.0032,4.04
3536,Fit4Less,43,1.78,0.1608,3.85
3608,Retro Fitness,65,3.76,0.0007,4.18
3392,Oaks Properties,34,12.93,0.0018,4.39
3428,LivCor,51,12.81,0.0024,4.23
3462,The Richman Group,24,14.13,0.0021,3.58
3506,The Little Gym,59,17.51,0.002,4.7
3609,Chick-Fil-A,62,5.34,0.0048,4.37
3642,Vintage Realty,36,8.78,0.0022,3.74
3643,National Church Residences,25,21.3,0.0113,3.9
3309,Chair King Backyard Store,51,1.24,0.0256,4.73
3310,Charles Schwab,27,23.64,0.0468,3.68
3429,Hamilton Point Investments,32,15.97,0.0027,3.61
3430,Hard Rock Hotel,60,13.0,0.0015,4.23
3463,Brookside Properties,29,20.39,0.0402,3.2
3507,HUB International,36,18.51,0.0161,4.09
3341,Ameriprise Financial,27,17.34,0.0122,4.57
3394,Advance America,56,2.41,0.0224,4.93
3431,The Storage Mall,37,5.44,0.1047,4.27
3464,Costco Wholesale,64,4.98,0.0077,4.53
3508,Monroe Group,22,13.16,0.0043,3.27
3540,BrightPath,41,5.0,0.024,4.74
3541,Sullivan’s Steakhouse,70,2.6,0.0079,4.23
3035,Top Rail Fence,38,23.48,0.0099,4.72
3036,Thrive Mortgage,33,9.48,0.0059,4.71
3040,Northern Management,15,16.56,0.018,3.8
3041,PremierGarage,46,24.8,0.0116,4.87
3044,Knights of Columbus,30,21.18,0.0058,4.75
3012,Rotary,31,20.46,0.0114,4.77
3013,Best Buddies,35,12.36,0.0029,3.82
3014,American Heart Association,31,23.82,0.0012,4.11
3015,AARP,34,24.2,0.0031,3.68
3038,Peterson Companies,26,15.16,0.0719,3.05
3039,Goldelm Capital,30,15.22,0.0063,2.87
3043,AvalonBay Communities,58,12.93,0.0006,4.47
3052,Hand and Stone Massage and Facial Spa,60,6.29,0.0004,4.3
3053,Willamette Dental Group,43,17.34,0.0942,3.85
3054,BoxDrop,59,3.37,0.0206,4.87
3056,Baptist Health,45,22.29,0.0032,3.29
3057,Nutrition House,40,3.22,0.0007,4.12
3059,rue21,42,5.05,0.1083,4.18
3062,Mark Taylor Residential,54,14.09,0.0278,4.19
3063,PRC Group,26,14.0,0.0048,3.16
3065,Comparion Insurance,41,11.65,0.0073,4.14
3066,Liberty Mutual,25,20.43,0.0135,3.15
3067,Norris & Stevens,14,17.08,0.022,3.43
3069,Maxus Properties,43,11.74,0.0072,3.94
3071,System4,24,20.12,0.0103,4.16
3072,Woodmont Real Estate Services,29,17.81,0.0275,3.42
3074,Service Experts,50,7.83,0.0054,4.74
3077,Real Property Management Express,38,10.21,0.0025,4.42
3078,Haley Residential,27,13.21,0.004,3.65
3079,SoBol,49,16.94,0.0049,4.33
3081,LifePoint Health,50,11.8,0.0069,3.28
3082,Rouse Management Company,27,19.79,0.0092,4.47
3083,Investors Property Services,29,20.44,0.0048,3.36
3084,Hayloft Property Management,22,15.07,0.0051,2.71
3085,Barnes and Noble,63,1.52,0.0039,4.55
3086,CRDN,18,23.57,0.0413,3.68
3089,McCathren Property Management,23,16.27,0.0114,3.34
3092,Hard Rock Cafe,66,7.21,0.0007,4.16
3093,Benchmark Mortgage,40,10.78,0.003,4.8
3095,Cascade Management,25,16.18,0.0029,3.7
3097,City Barbeque,63,1.95,0.0096,4.3
3101,Nationwide Insurance,21,11.95,0.0043,4.24
3102,Citizens Bank,31,12.96,0.0012,3.82
3104,Chem-Dry Carpet & Upholstery Cleaning,40,16.65,0.0053,4.67
3109,Villa Serena Communities,28,14.65,0.0089,3.47
3110,Simplicity Car Care,43,6.74,0.0197,4.59
3111,Bonavista Management,23,21.5,0.0014,3.39
3112,Paramount Residential Mortgage Group,32,12.18,0.007,4.74
3113,barre3,63,11.16,0.0036,4.93
3115,Maloney Properties,33,19.35,0.0354,3.98
3117,Janney Montgomery Scott,21,15.62,0.0074,4.65
3118,Community Builders,18,13.12,0.0272,3.54
3119,Geico,34,19.76,0.0037,3.69
3123,Truist,33,14.55,0.0145,2.86
3124,Farmers Insurance,36,16.61,0.0181,4.45
3114,Advanced Management Group,18,19.74,0.0085,3.19
3127,Fidelity National Title Group,31,10.42,0.0135,4.19
3128,Just Salad,50,11.44,0.2761,4.2
3131,Wasatch Property Management,41,13.31,0.0009,4.04
3132,State Farm,39,14.96,0.0154,4.18
3133,Quaker Steak & Lube,58,15.76,0.0009,4.02
3136,BAYADA Home Health,40,7.41,0.0196,3.48
3141,The Bar Method,62,11.11,0.0016,4.94
3142,Island Health,32,18.4,0.0116,3.83
3143,OK Tire,53,3.61,0.0712,4.54
3145,Thrivent Financial,21,15.71,0.0052,4.39
3147,Toppers Pizza,69,4.57,0.0069,4.16
