brandid,brandname,overall_weighted_score,google_avg_local_rank,facebook_engagement_rate,google_avg_rating
2100,ProLift Garage Doors,48,19.92,0.0216,4.88
2101,DoodyCalls,38,22.84,0.0101,4.62
3011,ACLU,29,25.0,0.0016,3.27
2112,Moove In Self Storage,42,2.0,0.1006,4.6
3000,Kiwanis International,25,20.77,0.0145,4.58
3001,Mothers Against Drunk Driving,29,20.57,0.0055,3.91
3002,Lions Club,32,7.58,0.0036,4.32
3003,Hillel,31,24.6,0.0048,4.66
3004,National Association of Social Workers,31,24.27,0.0017,4.42
3005,United Steelworkers,33,3.01,0.0166,4.4
3008,JDRF,33,23.69,0.0019,4.44
3010,National Wildlife Federation,28,18.57,0.0002,3.97
3016,Alzheimer's Association,36,24.02,0.0012,4.58
3017,United Way,38,13.61,0.0035,4.36
3018,The American Legion,39,3.1,0.0451,4.52
522,Life Care Services LLC,61,9.09,0.0109,4.46
3313,Farm Bureau Financial Services,32,12.27,0.0183,4.6
3343,Renew Smiles,36,11.07,0.0181,4.66
3346,Martinizing Cleaners,38,8.43,0.0027,4.4
3395,Wogan Group,21,14.6,0.0025,3.41
3465,Fairfield Property Management,41,11.18,0.0207,3.83
3466,National Bank,36,2.77,6.5042,3.29
3509,Chamberlin + Associates,20,21.07,0.0057,3.47
